fecha_update	COD_LOCAL	DESCRIPCION	INVENTARIO.u.	INVENTARIO.S.
2021-12-28	2681	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2682	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2683	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2684	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	7	42.84
2021-12-28	2685	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2686	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2687	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2689	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2690	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2691	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	6	36.72
2021-12-28	2692	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2693	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2694	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	9	55.08
2021-12-28	2695	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2696	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2697	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2698	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2699	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	6	36.72
2021-12-28	2700	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	7	42.84
2021-12-28	2701	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	8	48.96
2021-12-28	2703	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	7	42.84
2021-12-28	2704	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2705	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2706	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2708	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2709	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2710	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2711	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2712	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2713	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2714	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2715	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2716	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2717	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	0	0
2021-12-28	2718	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2720	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2721	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2722	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2723	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2724	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2725	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2726	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2727	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2728	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2729	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2730	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2731	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2733	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2734	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2735	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2736	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2737	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2738	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2739	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2740	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	6	36.72
2021-12-28	2741	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2742	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2743	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2744	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2745	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2746	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2747	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2748	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
